ID,COUNTRY,ISO,ADMIN_LEVEL_NAME,PCODE,REGION,LOG_TYPE,CATEGORY,MEASURE,TARGETED_POP_GROUP,,NON_COMPLIANCE,DATE_IMPLEMENTED,SOURCE,SOURCE_TYPE,LINK,ENTRY_DATE,
416,Netherlands,NLD,North Brabant,,Europe,Introduction / extension of measures,Public health measures,Introduction of isolation and quarantine policies,Yes,,Not applicable,06/03/2020,Government,Government,https://www.government.nl/ministries/ministry-of-health-welfare-and-sport/news/2020/03/06/covid-19-new-instructions-for-inhabitants-of-north-brabant,15/03/2020,
417,Netherlands,NLD,,,Europe,Introduction / extension of measures,Social distancing,Limit public gatherings,No,,Not applicable,12/03/2020,Government,Government,https://www.government.nl/ministries/ministry-of-health-welfare-and-sport/news/2020/03/12/new-measures-to-stop-spread-of-coronavirus-in-the-netherlands,15/03/2020,
418,Netherlands,NLD,,,Europe,Introduction / extension of measures,Social distancing,Schools closure ,No,,Not applicable,16/03/2020,Government,Government,https://www.rijksoverheid.nl/actueel/nieuws/2020/03/15/aanvullende-maatregelen-onderwijs-horeca-sport,15/03/2020,
885,Netherlands,NLD,,,Europe,Introduction / extension of measures,Social distancing,Public services closure ,No,,Fines,15/03/2020,Government of NL,Government,https://www.government.nl/latest/news/2020/03/15/additional-measures-in-schools-the-hospitality-sector-and-sport,20/03/2020,
886,Netherlands,NLD,,,Europe,Introduction / extension of measures,Public health measures,General recommendations,No,,Fines,15/03/2020,Governmnet of NL,Government,https://www.government.nl/latest/news/2020/03/15/additional-measures-in-schools-the-hospitality-sector-and-sport,20/03/2020,
887,Netherlands,NLD,,,Europe,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,Yes,,Not applicable,16/03/2020,Netherlands Chamber of Commerce,Government,https://business.gov.nl/the-coronavirus-and-your-company/,20/03/2020,
890,Netherlands,NLD,,,Europe,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,Yes,,Not applicable,,Netherlands Enterprise Agency,Government,https://business.gov.nl/subsidy/temporary-emergency-bridging-measure-sustained-employment-now/,20/03/2020,
922,Netherlands,NLD,,,Europe,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,Yes,,Not applicable,,Netherlands Enterprise Agency,Government,https://business.gov.nl/subsidy/extra-financial-support-for-self-employed-professional-bbz/,20/03/2020,
2145,Netherlands,NLD,,,Europe,Introduction / extension of measures,Social distancing,Limit public gatherings,No,,Fines,23/03/2020,Government,Government,https://www.government.nl/latest/news/2020/03/23/stricter-measures-to-control-coronavirus,24/03/2020,
2146,Netherlands,NLD,,,Europe,Introduction / extension of measures,Social distancing,Limit public gatherings,No,,Fines,23/03/2020,Government,Government,https://www.government.nl/latest/news/2020/03/23/stricter-measures-to-control-coronavirus,24/03/2020,
2147,Netherlands,NLD,,,Europe,Introduction / extension of measures,Governance and socio-economic measures,Emergency administrative structures activated or established,Yes,,Not applicable,23/03/2020,Government,Government,https://www.government.nl/latest/news/2020/03/23/stricter-measures-to-control-coronavirus,24/03/2020,
2148,Netherlands,NLD,,,Europe,Introduction / extension of measures,Social distancing,Limit public gatherings,No,,Fines,23/03/2020,Government,Government,https://www.government.nl/latest/news/2020/03/23/stricter-measures-to-control-coronavirus,24/03/2020,
2149,Netherlands,NLD,,,Europe,Introduction / extension of measures,Social distancing,Limit public gatherings,No,,Fines,23/03/2020,Government,Government,https://www.government.nl/latest/news/2020/03/23/stricter-measures-to-control-coronavirus,24/03/2020,
2151,Netherlands,NLD,,,Europe,Introduction / extension of measures,Social distancing,Public services closure ,No,,Fines,23/03/2020,Government,Government,https://www.government.nl/latest/news/2020/03/23/stricter-measures-to-control-coronavirus,24/03/2020,
2152,Netherlands,NLD,,,Europe,Introduction / extension of measures,Social distancing,Public services closure ,No,,Fines,24/03/2020,Government,Government,https://www.government.nl/latest/news/2020/03/23/stricter-measures-to-control-coronavirus,24/03/2020,
3472,Netherlands,NLD,,,Europe,Introduction / extension of measures,Social distancing,Public services closure ,No,,,31/03/2020,The Northern Times,Media,https://northerntimes.nl/dutch-government-extends-covid-19-regulations-until-april-28/,01/04/2020,
241,Italy,ITA,,,Europe,Introduction / extension of measures,Social distancing,Public services closure ,No,,fines,11/03/2020,Government,Government,http://www.governo.it/it/tipologie-contenuto/notizie,15/03/2020,http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=4324
242,Italy,ITA,,,Europe,Introduction / extension of measures,Governance and socio-economic measures,State of emergency declared,Yes,,Not applicable,31/01/2020,Government,Government,http://www.governo.it/it/articolo/coronavirus-firmato-il-dpcm-4-marzo-2020/14241,15/03/2020,
243,Italy,ITA,,,Europe,Introduction / extension of measures,Movement restrictions,International flights suspension,Yes,,Not applicable,31/01/2020,Forbes,Media,https://www.forbes.com/sites/davekeating/2020/03/12/italy-banned-flights-from-china-before-americait-didnt-work/#6db46084481b,15/03/2020,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioComunicatiNuovoCoronavirus.jsp?lingua=italiano&menu=salastampa&p=comunicatistampa&id=5414
244,Italy,ITA,Lombardia and Veneto,,Europe,Introduction / extension of measures,Lockdown,Partial lockdown,Yes,,Not applicable,08/03/2020,Government,Media,https://www.ilfattoquotidiano.it/2020/03/10/coronavirus-ora-il-veneto-di-zaia-si-accoda-chiudere-tutto-puo-essere-utile-ma-fino-a-due-giorni-fa-protestava-contro-la-zona-rossa/5731996/,15/03/2020,
423,Italy,ITA,,,Europe,Introduction / extension of measures,Social distancing,Schools closure ,Yes,,Not applicable,21/02/2020,Government,Government,https://www.gazzettaufficiale.it/eli/id/2020/02/25/20A01278/sg,16/03/2020,
763,Italy,ITA,,,Europe,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,Yes,,Not applicable,17/03/2020,Government of Italy,Government,http://www.governo.it/it/articolo/comunicato-stampa-del-consiglio-dei-ministri-n-37/14324,17/03/2020,
765,Italy,ITA,,,Europe,Introduction / extension of measures,Public health measures,Strengthening the public health system,Yes,,Not applicable,17/03/2020,Government of Italy,Government,http://www.governo.it/it/articolo/comunicato-stampa-del-consiglio-dei-ministri-n-37/14324,17/03/2020,
767,Italy,ITA,,,Europe,Introduction / extension of measures,Social distancing,Changes in prison-related policies,Yes,,Not applicable,17/03/2020,Government of Italy,Government,http://www.governo.it/it/articolo/comunicato-stampa-del-consiglio-dei-ministri-n-37/14324,17/03/2020,
821,Italy,ITA,,,Europe,Introduction / extension of measures,Public health measures,Strengthening the public health system,No,,Not applicable,17/03/2020,Ministry of Health,Government,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioNotizieNuovoCoronavirus.jsp?lingua=italiano&menu=notizie&p=dalministero&id=4247,20/03/2020,
